,auto_brand_en,item_kind_name_en,car_year,car_mileage,car_price,source
37,Volkswagen,T5 Kombi,2009,260000,220000,8891
38,Mercedes-Benz,GLC,2016,68000,1580000,8891
39,Suzuki,Swift,2009,60000,100000,8891
40,Toyota,Corolla Altis,2012,100000,315000,8891
41,Mercedes-Benz,C-Class Coupe,2017,26000,1498000,8891
42,BMW,X4,2019,10000,2680000,8891
43,BMW,4-Series Coupe,2016,95000,1150000,8891
44,Porsche,Macan,2019,11000,2780000,8891
45,BMW,5-Series Sedan,2012,70000,718000,8891
46,Mercedes-Benz,A-Class,2019,33000,1490000,8891
47,BMW,3-Series GT,2013,128000,950000,8891
48,Porsche,911 Carrera S,2019,880,6680000,8891
49,Mercedes-Benz,C-Class Sedan,2017,19000,0,8891
50,Volkswagen,Golf,2012,49000,308000,8891
51,Mazda,3,2010,85000,205000,8891
52,Mercedes-Benz,C-Class Sedan,2014,106000,1008000,8891
53,Honda,Civic,2011,113000,265000,8891
54,Volkswagen,Golf GTI,2017,59000,958000,8891
55,Suzuki,Swift,2018,35000,488000,8891
56,Maserati,Ghibli SQ4,2014,80000,1700000,8891
57,Mercedes-Benz,E-Class Sedan,2016,70000,1330000,8891
58,BMW,5-Series Sedan,2011,130000,780000,8891
59,BMW,5-Series Sedan,2017,50000,1340000,8891
60,Mercedes-Benz,S-Class Sedan,2014,100000,1680000,8891
61,Mercedes-Benz,S-Class Sedan,2018,30000,3980000,8891
62,Mercedes-Benz,E-Class Sedan,2016,31000,1680000,8891
63,Mercedes-Benz,GLC,2015,67000,1480000,8891
